url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,100,57
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,97,62
/PetervanLunteren/AddaxAI/tree/main/model_info,20,9
/PetervanLunteren/AddaxAI/blob/main/model_info/model_info_v5.json,17,7
/PetervanLunteren/AddaxAI/releases,14,12
/PetervanLunteren/AddaxAI/tree/main,13,12
/PetervanLunteren/AddaxAI/tree/main/classification_utils,13,10
/PetervanLunteren/AddaxAI/pull/104,13,5
/PetervanLunteren/AddaxAI/issues/92,12,1
/PetervanLunteren/AddaxAI/blob/main/AddaxAI_GUI.py,11,10
