url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,96,67
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,54,31
/PetervanLunteren/addaxai,34,1
/PetervanLunteren/AddaxAI/tree/main,32,13
/PetervanLunteren/AddaxAI/tree/main/model_info,31,6
/PetervanLunteren/AddaxAI/blob/main/AddaxAI_GUI.py,27,11
/PetervanLunteren/AddaxAI/issues,26,16
/PetervanLunteren/AddaxAI/tree/main/classification_utils,20,8
/PetervanLunteren/AddaxAI/issues/80,20,2
/PetervanLunteren/AddaxAI/blob/main/model_info/model_info_v5.json,19,3
