referrer,views_total,views_unique
addaxdatascience.com,103,15
Google,56,24
github.com,45,21
ukc-excel.officeapps.live.com,27,2
Bing,23,2
wildlabs.net,6,5
statics.teams.cdn.office.net,2,2
mail.google.com,2,1
com.google.android.gm,1,1
joss.theoj.org,1,1
