url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,105,60
/PetervanLunteren/AddaxAI/actions,54,3
/PetervanLunteren/AddaxAI/tree/main,44,12
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,34,22
/PetervanLunteren/AddaxAI/actions/workflows/build-macos-release.yml,34,1
/PetervanLunteren/addaxai,32,1
/PetervanLunteren/AddaxAI/issues/80,31,1
/PetervanLunteren/AddaxAI/issues,30,8
/PetervanLunteren/AddaxAI/issues/92,26,2
/PetervanLunteren/AddaxAI/blob/main/AddaxAI_GUI.py,25,10
