url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,126,79
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,105,74
/PetervanLunteren/AddaxAI/tree/main,60,12
/PetervanLunteren/AddaxAI/tree/main/install_files,32,12
/PetervanLunteren/AddaxAI/tree/main/install_files/windows,27,10
/PetervanLunteren/AddaxAI/issues,25,17
/PetervanLunteren/AddaxAI/blob/main/model_info/model_info_v5.json,24,10
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/all-user-install.md,23,15
/PetervanLunteren/AddaxAI/releases,22,18
/PetervanLunteren/AddaxAI/tree/main/model_info,20,8
