referrer,views_total,views_unique
Google,115,28
addaxdatascience.com,69,16
github.com,51,12
gemini.google.com,20,3
support.google.com,18,9
DuckDuckGo,17,1
Bing,11,7
mail.google.com,6,1
wildlabs.net,5,5
chatgpt.com,1,1
