url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,91,65
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,41,32
/PetervanLunteren/addaxai,33,1
/PetervanLunteren/AddaxAI/actions,33,1
/PetervanLunteren/AddaxAI/actions/workflows/build-macos-release.yml,26,1
/PetervanLunteren/AddaxAI/tree/main,23,10
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/all-user-install.md,21,13
/PetervanLunteren/AddaxAI/issues/92,21,2
/PetervanLunteren/AddaxAI/issues/80,20,1
/PetervanLunteren/AddaxAI/blob/main/AddaxAI_GUI.py,18,7
