referrer,views_total,views_unique
Google,66,22
addaxdatascience.com,45,18
github.com,21,10
forum.addaxai.com,17,7
Bing,9,5
statics.teams.cdn.office.net,8,3
pub.towardsai.net,6,2
cn.bing.com,6,1
ya.ru,4,2
chatgpt.com,3,3
