url_path,views_total,views_unique
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,109,61
/PetervanLunteren/AddaxAI,93,66
/PetervanLunteren/AddaxAI/pull/104,19,4
/PetervanLunteren/AddaxAI/issues,18,10
/PetervanLunteren/AddaxAI/tree/main/model_info,16,10
/PetervanLunteren/AddaxAI/tree/main,15,9
/PetervanLunteren/AddaxAI/releases,14,14
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/disable-anti-virus.md,12,8
/PetervanLunteren/AddaxAI/blob/main/classification_utils/model_types/deepfaune/classify_detections.py,10,5
/PetervanLunteren/AddaxAI/blob/main/AddaxAI_GUI.py,9,9
