referrer,views_total,views_unique
Google,112,28
addaxdatascience.com,62,15
github.com,53,14
support.google.com,17,8
DuckDuckGo,17,1
Bing,11,7
mail.google.com,6,1
wildlabs.net,4,4
gemini.google.com,3,2
chatgpt.com,1,1
