url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,101,59
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,62,44
/PetervanLunteren/addaxai,25,1
/PetervanLunteren/AddaxAI/actions,19,2
/PetervanLunteren/AddaxAI/blob/main/AddaxAI_GUI.py,16,10
/PetervanLunteren/AddaxAI/issues,13,10
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/disable-anti-virus.md,13,9
/PetervanLunteren/AddaxAI/releases,12,5
/PetervanLunteren/AddaxAI/tree/main/install_files,11,8
/PetervanLunteren/AddaxAI/tree/main,11,7
