referrer,views_total,views_unique
Google,168,49
github.com,76,15
Bing,36,5
addaxdatascience.com,15,9
statics.teams.cdn.office.net,8,2
wildlabs.net,8,2
towardsai.net,7,2
forum.addaxai.com,5,4
opensustain.tech,4,1
yandex.ru,3,1
