url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,100,61
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,49,38
/PetervanLunteren/addaxai,27,1
/PetervanLunteren/AddaxAI/actions,20,3
/PetervanLunteren/AddaxAI/blob/main/AddaxAI_GUI.py,15,10
/PetervanLunteren/AddaxAI/issues,14,12
/PetervanLunteren/AddaxAI/tree/main/install_files,14,10
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/all-user-install.md,13,7
/PetervanLunteren/AddaxAI/tree/main/install_files/windows,12,9
/PetervanLunteren/AddaxAI/tree/main,11,7
