time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-16 00:00:00+00:00,6,3,9,7
2025-03-17 00:00:00+00:00,32,14,148,11
2025-03-18 00:00:00+00:00,31,16,254,17
2025-03-19 00:00:00+00:00,46,17,248,16
2025-03-20 00:00:00+00:00,28,14,167,23
2025-03-21 00:00:00+00:00,9,7,60,19
2025-03-22 00:00:00+00:00,14,8,58,8
2025-03-23 00:00:00+00:00,4,3,54,12
2025-03-24 00:00:00+00:00,18,9,92,16
2025-03-25 00:00:00+00:00,6,5,101,20
2025-03-26 00:00:00+00:00,11,8,119,14
2025-03-27 00:00:00+00:00,20,10,60,18
2025-03-28 00:00:00+00:00,11,7,42,14
2025-03-29 00:00:00+00:00,11,6,32,3
