referrer,views_total,views_unique
Google,102,29
addaxdatascience.com,40,20
github.com,25,12
Bing,21,4
forum.addaxai.com,16,6
DuckDuckGo,9,2
ya.ru,5,4
jules.google.com,5,1
vk.com,3,1
mail.ru,2,2
