url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,123,47
/PetervanLunteren/AddaxAI/actions,86,3
/PetervanLunteren/AddaxAI/tree/main,42,6
/PetervanLunteren/AddaxAI/blob/main/.github/workflows/build-macos-release.yml,39,3
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,31,20
/PetervanLunteren/AddaxAI/blob/main/AddaxAI_GUI.py,31,5
/PetervanLunteren/AddaxAI/releases,23,13
/PetervanLunteren/addaxai,22,1
/PetervanLunteren/AddaxAI/tree/env-download-runtime,21,2
/PetervanLunteren/AddaxAI/blob/main/.github/workflows/build-windows-release.yml,20,2
