url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,109,65
/PetervanLunteren/AddaxAI/commits/main,42,1
/PetervanLunteren/AddaxAI/issues/80,30,2
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,25,16
/PetervanLunteren/AddaxAI/issues,21,14
/PetervanLunteren/AddaxAI/tree/main,21,14
/PetervanLunteren/AddaxAI/issues/83,19,10
/PetervanLunteren/AddaxAI/tree/main/classification_utils,18,9
/PetervanLunteren/AddaxAI/issues/56,15,13
/PetervanLunteren/AddaxAI/blob/main/AddaxAI_GUI.py,15,10
