url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,150,86
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,107,70
/PetervanLunteren/AddaxAI/tree/main,62,12
/PetervanLunteren/AddaxAI/releases,47,26
/PetervanLunteren/AddaxAI/tree/main/install_files,36,14
/PetervanLunteren/AddaxAI/tree/main/install_files/windows,31,11
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/all-user-install.md,29,19
/PetervanLunteren/AddaxAI/tree/main/classification_utils,24,8
/PetervanLunteren/AddaxAI/issues,23,20
/PetervanLunteren/AddaxAI/issues/92,23,3
