referrer,views_total,views_unique
Google,265,50
github.com,57,10
addaxdatascience.com,41,11
Bing,30,5
statics.teams.cdn.office.net,9,3
chatgpt.com,8,3
forum.addaxai.com,6,4
opensustain.tech,4,1
search.brave.com,3,2
wildlabs.net,3,2
