time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-12 00:00:00+00:00,29,14,41,17
2026-02-13 00:00:00+00:00,73,38,28,8
2026-02-14 00:00:00+00:00,18,11,43,25
2026-02-15 00:00:00+00:00,29,13,34,17
2026-02-16 00:00:00+00:00,9,6,34,22
2026-02-17 00:00:00+00:00,47,19,67,18
2026-02-18 00:00:00+00:00,27,13,45,15
2026-02-19 00:00:00+00:00,27,18,128,24
2026-02-20 00:00:00+00:00,12,7,27,18
2026-02-21 00:00:00+00:00,8,7,18,9
2026-02-22 00:00:00+00:00,24,13,18,11
2026-02-23 00:00:00+00:00,18,9,26,12
2026-02-24 00:00:00+00:00,15,9,48,26
2026-02-25 00:00:00+00:00,10,6,51,18
