time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-10 00:00:00+00:00,31,20,70,22
2025-11-11 00:00:00+00:00,19,12,42,18
2025-11-12 00:00:00+00:00,12,6,25,13
2025-11-13 00:00:00+00:00,17,8,54,22
2025-11-14 00:00:00+00:00,14,8,89,29
2025-11-15 00:00:00+00:00,5,5,30,8
2025-11-16 00:00:00+00:00,9,7,6,5
2025-11-17 00:00:00+00:00,6,6,50,24
2025-11-18 00:00:00+00:00,9,7,40,16
2025-11-19 00:00:00+00:00,8,6,57,13
2025-11-20 00:00:00+00:00,13,8,42,18
2025-11-21 00:00:00+00:00,9,7,22,11
2025-11-22 00:00:00+00:00,7,6,36,15
2025-11-23 00:00:00+00:00,4,3,43,10
