url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,110,60
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,48,33
/PetervanLunteren/AddaxAI/pulls,29,8
/PetervanLunteren/AddaxAI/issues,23,12
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/all-user-install.md,15,11
/PetervanLunteren/AddaxAI/blob/main/AddaxAI_GUI.py,15,7
/PetervanLunteren/AddaxAI/tree/main/install_files,14,7
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/disable-anti-virus.md,12,11
/PetervanLunteren/AddaxAI/issues/89,12,2
/PetervanLunteren/addaxai,11,2
