time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-10 00:00:00+00:00,38,21,164,24
2025-07-11 00:00:00+00:00,13,12,54,15
2025-07-12 00:00:00+00:00,8,8,8,3
2025-07-13 00:00:00+00:00,8,8,42,8
2025-07-14 00:00:00+00:00,18,14,70,12
2025-07-15 00:00:00+00:00,30,19,147,15
2025-07-16 00:00:00+00:00,23,17,77,17
2025-07-17 00:00:00+00:00,10,7,147,16
2025-07-18 00:00:00+00:00,10,8,28,12
2025-07-19 00:00:00+00:00,5,3,24,8
2025-07-20 00:00:00+00:00,6,6,31,12
2025-07-21 00:00:00+00:00,9,5,25,12
2025-07-22 00:00:00+00:00,6,6,87,21
2025-07-23 00:00:00+00:00,3,3,41,18
