url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,147,82
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,48,30
/PetervanLunteren/AddaxAI/issues,32,17
/PetervanLunteren/AddaxAI/actions,27,6
/PetervanLunteren/AddaxAI/tree/main,25,16
/PetervanLunteren/AddaxAI/blob/main/classification_utils/model_types/deepfaune/classify_detections.py,22,7
/PetervanLunteren/AddaxAI/blob/main/EcoAssist_GUI.py,22,1
/PetervanLunteren/AddaxAI/blob/main/README.md,21,20
/PetervanLunteren/AddaxAI/tree/main/install_files,19,14
/PetervanLunteren/AddaxAI/issues/80,19,3
