referrer,views_total,views_unique
Google,83,30
github.com,50,17
addaxdatascience.com,41,13
forum.addaxai.com,41,9
DuckDuckGo,37,3
yandex.ru,30,3
Bing,13,5
towardsai.net,10,1
softpedia.com,5,3
ukc-excel.officeapps.live.com,4,1
