time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-16 00:00:00+00:00,5.0,5.0,101,14
2025-06-17 00:00:00+00:00,10.0,8.0,83,12
2025-06-18 00:00:00+00:00,10.0,7.0,158,25
2025-06-19 00:00:00+00:00,6.0,6.0,25,11
2025-06-20 00:00:00+00:00,4.0,2.0,12,10
2025-06-21 00:00:00+00:00,5.0,4.0,3,3
2025-06-22 00:00:00+00:00,4.0,3.0,13,10
2025-06-23 00:00:00+00:00,1.0,1.0,45,18
2025-06-24 00:00:00+00:00,7.0,7.0,29,15
2025-06-25 00:00:00+00:00,9.0,8.0,40,17
2025-06-26 00:00:00+00:00,5.0,3.0,26,15
2025-06-27 00:00:00+00:00,13.0,11.0,42,16
2025-06-28 00:00:00+00:00,5.0,5.0,4,4
2025-06-29 00:00:00+00:00,,,3,3
