url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,124,59
/PetervanLunteren/AddaxAI/actions,64,1
/PetervanLunteren/AddaxAI/tree/main,59,25
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,29,22
/PetervanLunteren/AddaxAI/blob/main/AddaxAI_GUI.py,26,8
/PetervanLunteren/AddaxAI/blob/main/.github/workflows/build-macos-release.yml,26,3
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/all-user-install.md,23,14
/PetervanLunteren/addaxai,21,3
/PetervanLunteren/AddaxAI/issues/80,21,3
/PetervanLunteren/AddaxAI/tree/main/.github/workflows,20,5
