url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,124,64
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,72,41
/PetervanLunteren/AddaxAI/tree/main/model_info,29,6
/PetervanLunteren/AddaxAI/blob/main/markdown/quick-test.md,19,12
/PetervanLunteren/AddaxAI/releases,17,12
/PetervanLunteren/AddaxAI/issues/92,17,3
/PetervanLunteren/AddaxAI/issues,15,11
/PetervanLunteren/AddaxAI/pulls,15,8
/PetervanLunteren/AddaxAI/pull/104,14,3
/PetervanLunteren/AddaxAI/tree/main/classification_utils,14,3
