url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,113,52
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,37,26
/PetervanLunteren/AddaxAI/issues,37,15
/PetervanLunteren/AddaxAI/pulls,31,7
/PetervanLunteren/AddaxAI/tree/main,30,12
/PetervanLunteren/AddaxAI/issues/80,30,1
/PetervanLunteren/AddaxAI/blob/main/AddaxAI_GUI.py,21,14
/PetervanLunteren/AddaxAI/tree/main/model_info,19,11
/PetervanLunteren/AddaxAI/tree/main/classification_utils,17,11
/PetervanLunteren/AddaxAI/tree/main/install_files,17,9
