time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-03 00:00:00+00:00,8,6,49,13
2025-04-04 00:00:00+00:00,42,11,142,14
2025-04-05 00:00:00+00:00,7,6,23,6
2025-04-06 00:00:00+00:00,14,9,46,6
2025-04-07 00:00:00+00:00,18,10,54,14
2025-04-08 00:00:00+00:00,10,8,102,23
2025-04-09 00:00:00+00:00,4,3,86,22
2025-04-10 00:00:00+00:00,10,5,48,14
2025-04-11 00:00:00+00:00,33,13,26,16
2025-04-12 00:00:00+00:00,72,13,34,6
2025-04-13 00:00:00+00:00,22,9,52,15
2025-04-14 00:00:00+00:00,9,7,58,22
2025-04-15 00:00:00+00:00,9,7,69,22
2025-04-16 00:00:00+00:00,11,5,78,13
