url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,107,64
/PetervanLunteren/AddaxAI/issues/92,30,3
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,23,19
/PetervanLunteren/AddaxAI/issues,17,12
/PetervanLunteren/AddaxAI/releases,16,8
/PetervanLunteren/addaxai,14,3
/PetervanLunteren/AddaxAI/pulls,13,6
/PetervanLunteren/AddaxAI/pull/104,13,3
/PetervanLunteren/AddaxAI/tree/main/model_info,10,7
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/all-user-install.md,9,7
