url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,101,61
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,59,40
/PetervanLunteren/addaxai,27,1
/PetervanLunteren/AddaxAI/actions,20,3
/PetervanLunteren/AddaxAI/blob/main/AddaxAI_GUI.py,17,11
/PetervanLunteren/AddaxAI/issues,13,10
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/disable-anti-virus.md,12,8
/PetervanLunteren/AddaxAI/releases,12,5
/PetervanLunteren/AddaxAI/tree/main/model_info,12,5
/PetervanLunteren/AddaxAI/tree/main/install_files,11,8
