url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,125,67
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,63,37
/PetervanLunteren/AddaxAI/tree/main/model_info,26,4
/PetervanLunteren/AddaxAI/releases,20,12
/PetervanLunteren/AddaxAI/issues/92,20,4
/PetervanLunteren/AddaxAI/blob/main/markdown/quick-test.md,18,11
/PetervanLunteren/AddaxAI/pulls,18,9
/PetervanLunteren/AddaxAI/issues,17,12
/PetervanLunteren/AddaxAI/pull/104,17,3
/PetervanLunteren/AddaxAI/blob/main/model_info/model_info_v5.json,13,3
