url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,128,75
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,33,24
/PetervanLunteren/AddaxAI/actions,27,2
/PetervanLunteren/AddaxAI/tree/main,25,14
/PetervanLunteren/AddaxAI/blob/main/AddaxAI_GUI.py,24,15
/PetervanLunteren/AddaxAI/issues,24,9
/PetervanLunteren/AddaxAI/blob/main/classification_utils/model_types/deepfaune/classify_detections.py,24,8
/PetervanLunteren/AddaxAI/blob/main/README.md,19,16
/PetervanLunteren/addaxai,19,1
/PetervanLunteren/AddaxAI/blob/main/EcoAssist_GUI.py,19,1
