url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,127,48
/PetervanLunteren/AddaxAI/actions,90,3
/PetervanLunteren/AddaxAI/tree/main,48,9
/PetervanLunteren/AddaxAI/blob/main/.github/workflows/build-macos-release.yml,39,3
/PetervanLunteren/AddaxAI/blob/main/AddaxAI_GUI.py,32,7
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,26,16
/PetervanLunteren/AddaxAI/blob/main/.github/workflows/build-windows-release.yml,26,3
/PetervanLunteren/AddaxAI/tree/env-download-runtime,23,2
/PetervanLunteren/AddaxAI/releases,22,13
/PetervanLunteren/addaxai,22,2
