url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,144,65
/PetervanLunteren/AddaxAI/actions,109,4
/PetervanLunteren/AddaxAI/tree/env-download-runtime,40,3
/PetervanLunteren/AddaxAI/tree/main,39,16
/PetervanLunteren/AddaxAI/blob/env-download-runtime/.github/workflows/build-windows-release.yml,38,2
/PetervanLunteren/AddaxAI/actions/workflows/build-windows-release.yml,37,1
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,32,23
/PetervanLunteren/AddaxAI/tree/env-download-runtime/.github/workflows,30,2
/PetervanLunteren/AddaxAI/blob/main/.github/workflows/build-macos-release.yml,26,4
/PetervanLunteren/AddaxAI/tree/main/install_files,23,13
