url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,123,75
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,51,37
/PetervanLunteren/AddaxAI/issues,23,13
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/disable-anti-virus.md,21,14
/PetervanLunteren/AddaxAI/releases,18,14
/PetervanLunteren/AddaxAI/tree/main,16,11
/PetervanLunteren/AddaxAI/tree/main/install_files,15,10
/PetervanLunteren/AddaxAI/blob/main/markdown/quick-test.md,14,6
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/all-user-install.md,13,11
/PetervanLunteren/AddaxAI/tree/main/test_images,13,6
