time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-17 00:00:00+00:00,10,5,78,18
2025-10-18 00:00:00+00:00,25,8,12,4
2025-10-19 00:00:00+00:00,2,2,34,10
2025-10-20 00:00:00+00:00,8,3,31,11
2025-10-21 00:00:00+00:00,30,9,36,20
2025-10-22 00:00:00+00:00,13,6,30,16
2025-10-23 00:00:00+00:00,8,7,29,18
2025-10-24 00:00:00+00:00,28,17,73,10
2025-10-25 00:00:00+00:00,10,5,22,6
2025-10-26 00:00:00+00:00,14,12,15,7
2025-10-27 00:00:00+00:00,8,6,47,11
2025-10-28 00:00:00+00:00,36,21,83,21
2025-10-29 00:00:00+00:00,9,6,42,19
2025-10-30 00:00:00+00:00,17,14,106,47
