time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-02 00:00:00+00:00,19,11,79,27
2026-02-03 00:00:00+00:00,9,8,43,21
2026-02-04 00:00:00+00:00,19,12,228,31
2026-02-05 00:00:00+00:00,19,11,38,17
2026-02-06 00:00:00+00:00,22,17,77,20
2026-02-07 00:00:00+00:00,19,10,39,15
2026-02-08 00:00:00+00:00,14,9,32,14
2026-02-09 00:00:00+00:00,50,22,65,25
2026-02-10 00:00:00+00:00,16,9,115,22
2026-02-11 00:00:00+00:00,40,23,117,29
2026-02-12 00:00:00+00:00,29,14,41,17
2026-02-13 00:00:00+00:00,73,38,28,8
2026-02-14 00:00:00+00:00,18,11,43,25
2026-02-15 00:00:00+00:00,29,13,34,17
