time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-22 00:00:00+00:00,4,4,52,19
2025-08-23 00:00:00+00:00,3,3,33,9
2025-08-24 00:00:00+00:00,4,4,20,7
2025-08-25 00:00:00+00:00,6,6,36,18
2025-08-26 00:00:00+00:00,9,8,15,11
2025-08-27 00:00:00+00:00,5,5,16,12
2025-08-28 00:00:00+00:00,3,3,14,9
2025-08-29 00:00:00+00:00,7,7,57,17
2025-08-30 00:00:00+00:00,7,7,9,5
2025-08-31 00:00:00+00:00,7,7,7,6
2025-09-01 00:00:00+00:00,4,4,62,19
2025-09-02 00:00:00+00:00,260,5,23,16
2025-09-03 00:00:00+00:00,265,6,128,22
2025-09-04 00:00:00+00:00,3,2,70,20
