url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,104,59
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,45,30
/PetervanLunteren/AddaxAI/issues,32,17
/PetervanLunteren/AddaxAI/tree/main,31,14
/PetervanLunteren/AddaxAI/issues/80,30,1
/PetervanLunteren/AddaxAI/tree/main/model_info,21,13
/PetervanLunteren/AddaxAI/blob/main/AddaxAI_GUI.py,19,11
/PetervanLunteren/AddaxAI/tree/main/classification_utils,18,12
/PetervanLunteren/AddaxAI/tree/main/install_files,17,11
/PetervanLunteren/AddaxAI/tree/main/install_files/windows,16,9
