url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,106,54
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,38,25
/PetervanLunteren/AddaxAI/pulls,32,7
/PetervanLunteren/AddaxAI/tree/main,27,8
/PetervanLunteren/AddaxAI/issues,24,12
/PetervanLunteren/AddaxAI/blob/main/AddaxAI_GUI.py,18,9
/PetervanLunteren/AddaxAI/tree/main/install_files,17,9
/PetervanLunteren/AddaxAI/issues/80,16,1
/PetervanLunteren/AddaxAI/tree/main/classification_utils,13,6
/PetervanLunteren/AddaxAI/tree/main/model_info,12,7
