time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-20 00:00:00+00:00,28,15,33,14
2026-01-21 00:00:00+00:00,11,11,30,17
2026-01-22 00:00:00+00:00,15,6,43,17
2026-01-23 00:00:00+00:00,18,8,28,16
2026-01-24 00:00:00+00:00,14,6,39,9
2026-01-25 00:00:00+00:00,27,9,9,5
2026-01-26 00:00:00+00:00,17,9,22,17
2026-01-27 00:00:00+00:00,10,6,79,23
2026-01-28 00:00:00+00:00,21,11,46,17
2026-01-29 00:00:00+00:00,11,7,32,15
2026-01-30 00:00:00+00:00,50,29,75,19
2026-01-31 00:00:00+00:00,7,7,13,8
2026-02-01 00:00:00+00:00,14,10,12,11
2026-02-02 00:00:00+00:00,19,11,79,27
