url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,141,64
/PetervanLunteren/AddaxAI/actions,133,4
/PetervanLunteren/AddaxAI/tree/env-download-runtime,43,3
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,42,27
/PetervanLunteren/AddaxAI/tree/main,39,16
/PetervanLunteren/AddaxAI/tree/env-download-runtime/.github/workflows,38,2
/PetervanLunteren/AddaxAI/blob/env-download-runtime/.github/workflows/build-windows-release.yml,37,2
/PetervanLunteren/AddaxAI/actions/workflows/build-windows-release.yml,37,1
/PetervanLunteren/AddaxAI/actions/workflows/build-macos-release.yml,29,1
/PetervanLunteren/addaxai,28,2
