referrer,views_total,views_unique
Google,127,41
github.com,59,19
addaxdatascience.com,37,13
Bing,26,7
chatgpt.com,20,5
Yahoo,8,3
forum.addaxai.com,5,2
statics.teams.cdn.office.net,2,2
DuckDuckGo,2,1
healthycountryai.org,2,1
