url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,142,78
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,78,55
/PetervanLunteren/AddaxAI/releases,44,21
/PetervanLunteren/AddaxAI/tree/main/classification_utils,25,9
/PetervanLunteren/AddaxAI/tree/main,22,12
/PetervanLunteren/AddaxAI/issues,21,12
/PetervanLunteren/AddaxAI/tree/main/model_info,20,9
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/all-user-install.md,19,12
/PetervanLunteren/AddaxAI/issues/92,19,4
/PetervanLunteren/AddaxAI/tree/main/install_files,15,12
