url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,99,64
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,48,27
/PetervanLunteren/addaxai,41,1
/PetervanLunteren/AddaxAI/tree/main,36,13
/PetervanLunteren/AddaxAI/issues,34,15
/PetervanLunteren/AddaxAI/tree/main/model_info,31,5
/PetervanLunteren/AddaxAI/blob/main/AddaxAI_GUI.py,28,10
/PetervanLunteren/AddaxAI/issues/80,23,2
/PetervanLunteren/AddaxAI/tree/main/classification_utils,20,7
/PetervanLunteren/AddaxAI/blob/main/model_info/model_info_v5.json,19,2
