time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-25 00:00:00+00:00,6,5,101,20
2025-03-26 00:00:00+00:00,11,8,119,14
2025-03-27 00:00:00+00:00,20,10,60,18
2025-03-28 00:00:00+00:00,11,7,42,14
2025-03-29 00:00:00+00:00,15,8,32,3
2025-03-30 00:00:00+00:00,6,5,10,7
2025-03-31 00:00:00+00:00,10,8,65,16
2025-04-01 00:00:00+00:00,26,13,146,14
2025-04-02 00:00:00+00:00,53,15,255,10
2025-04-03 00:00:00+00:00,8,6,49,13
2025-04-04 00:00:00+00:00,42,11,142,14
2025-04-05 00:00:00+00:00,7,6,23,6
2025-04-06 00:00:00+00:00,14,9,46,6
2025-04-07 00:00:00+00:00,16,8,49,12
