referrer,views_total,views_unique
github.com,60,16
Google,53,28
addaxdatascience.com,39,9
Bing,18,7
forum.addaxai.com,7,3
towardsai.net,6,1
wildlabs.net,6,1
search.brave.com,5,1
chatgpt.com,4,2
yandex.ru,3,1
