url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,116,72
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,109,71
/PetervanLunteren/AddaxAI/tree/main,61,12
/PetervanLunteren/AddaxAI/tree/main/install_files,26,10
/PetervanLunteren/AddaxAI/tree/main/install_files/windows,26,9
/PetervanLunteren/AddaxAI/blob/main/model_info/model_info_v5.json,22,10
/PetervanLunteren/AddaxAI/tree/main/model_info,21,10
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/all-user-install.md,20,13
/PetervanLunteren/AddaxAI/releases,16,13
/PetervanLunteren/AddaxAI/issues/92,15,1
