url_path,views_total,views_unique
/PetervanLunteren/AddaxAI/actions,154,4
/PetervanLunteren/AddaxAI,142,62
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,51,28
/PetervanLunteren/AddaxAI/tree/env-download-runtime/.github/workflows,51,2
/PetervanLunteren/AddaxAI/tree/env-download-runtime,47,3
/PetervanLunteren/AddaxAI/actions/workflows/build-windows-release.yml,47,1
/PetervanLunteren/AddaxAI/blob/env-download-runtime/.github/workflows/build-windows-release.yml,45,2
/PetervanLunteren/AddaxAI/tree/main,42,18
/PetervanLunteren/AddaxAI/actions/workflows/build-macos-release.yml,38,1
/PetervanLunteren/AddaxAI/blob/env-download-runtime/.github/workflows/build-macos-release.yml,33,2
