time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-05 00:00:00+00:00,8,6,58,6
2025-10-06 00:00:00+00:00,7,4,43,17
2025-10-07 00:00:00+00:00,8,6,11,8
2025-10-08 00:00:00+00:00,10,9,22,10
2025-10-09 00:00:00+00:00,11,5,27,10
2025-10-10 00:00:00+00:00,7,6,19,10
2025-10-11 00:00:00+00:00,13,9,5,5
2025-10-12 00:00:00+00:00,6,4,6,4
2025-10-13 00:00:00+00:00,13,9,37,11
2025-10-14 00:00:00+00:00,15,5,39,18
2025-10-15 00:00:00+00:00,11,6,15,8
2025-10-16 00:00:00+00:00,11,8,20,9
2025-10-17 00:00:00+00:00,10,5,78,18
2025-10-18 00:00:00+00:00,24,7,12,4
