url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,196,99
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,54,33
/PetervanLunteren/AddaxAI/releases,36,14
/PetervanLunteren/AddaxAI/issues,24,15
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/all-user-install.md,24,13
/PetervanLunteren/AddaxAI/tree/main,20,12
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/disable-anti-virus.md,17,13
/PetervanLunteren/AddaxAI/tree/main/install_files/windows,17,9
/PetervanLunteren/AddaxAI/tree/main/model_info,16,7
/PetervanLunteren/AddaxAI/blob/main/model_info/model_info_v5.json,15,7
